file	line	definition(kernel owner)	token	Q1 position	message/head	in closure(drive)	in closure(consumer fine roots)	in closure(consumer step roots)	Q3 class	Q3 invariant / witness / need	cite	Q1 note
lean_frontend/CerbDecode.lean	41	CerbDecode.decode_integer_constant	panic!	TAIL	"Decode.decode_integer_constant: empty constant has no meaning (decode.ml:7-8 str.[0] rais	Y	Y	N	UNREACHABLE-BY-INVARIANT	no exec-path caller: decode_integer_constant is called only by the desugarer (Cabs_to_ail); it is in the kernel closure through module constants only	grep: Driver.lean references CerbDecode.decode_character_constant only	hand-written: body following a `let` line / match arm (read)
lean_frontend/CerbDecode.lean	121	_private.CerbDecode.0.CerbDecode.decode_character_constant_aux	panic!	TAIL	s!"decode_character_constant: invalid char constant ==> {str} (decode.ml:199-200)"	Y	Y	N	REACHABLE	witness tests/failure-probes/reach/args_backslash.c (--args "a\b"): both crash; input class HARNESS BOUNDARY (argv byte "\"); C program well-typed	driver.lem prepare_main_args: Decode.decode_character_constant (String.toString [c]); Driver.lean:575	hand-written: body following a `let` line / match arm (read)
lean_frontend/CerbDecode.lean	127	_private.CerbDecode.0.CerbDecode.decode_character_constant_aux	panic!	TAIL	"decode_character_constant, invalid constant: '\\x' (decode.ml:171-172)"	Y	Y	N	UNREACHABLE-BY-INVARIANT	structural: the only exec-path caller passes a ONE-character string (String.ofList [c]); the \x / octal / empty arms need ≥2 characters	Driver.lean:575 (generated prepare_main_args), CerbDecode.lean:127-146	hand-written: body following a `let` line / match arm (read)
lean_frontend/CerbDecode.lean	132	_private.CerbDecode.0.CerbDecode.decode_character_constant_aux	panic!	TAIL	s!"decode_character_constant, started like an hexa constant, but failed: {hexs} (decode.ml	Y	Y	N	UNREACHABLE-BY-INVARIANT	structural: the only exec-path caller passes a ONE-character string (String.ofList [c]); the \x / octal / empty arms need ≥2 characters	Driver.lean:575 (generated prepare_main_args), CerbDecode.lean:127-146	hand-written: body following a `let` line / match arm (read)
lean_frontend/CerbDecode.lean	144	_private.CerbDecode.0.CerbDecode.decode_character_constant_aux	panic!	TAIL	s!"decode_character_constant, started like an octal constant, but failed: {octs} (decode.m	Y	Y	N	UNREACHABLE-BY-INVARIANT	structural: the only exec-path caller passes a ONE-character string (String.ofList [c]); the \x / octal / empty arms need ≥2 characters	Driver.lean:575 (generated prepare_main_args), CerbDecode.lean:127-146	hand-written: body following a `let` line / match arm (read)
lean_frontend/CerbDecode.lean	146	_private.CerbDecode.0.CerbDecode.decode_character_constant_aux	panic!	TAIL	"decode_character_constant: empty constant (decode.ml:162-163)"	Y	Y	N	UNREACHABLE-BY-INVARIANT	structural: the only exec-path caller passes a ONE-character string (String.ofList [c]); the \x / octal / empty arms need ≥2 characters	Driver.lean:575 (generated prepare_main_args), CerbDecode.lean:127-146	hand-written: body following a `let` line / match arm (read)
lean_frontend/CerbDecode.lean	151	_private.CerbDecode.0.CerbDecode.decode_character_constant_aux	panic!	TAIL	s!"decode_character_constant: invalid char constant ==> {str} (decode.ml:199-200)"	Y	Y	N	REACHABLE	same route as :121 (the two "invalid char constant" arms share the single-byte input); :121 witnessed	CerbDecode.lean:121-151	hand-written: body following a `let` line / match arm (read)
lean_frontend/CerbFS.lean	229	CerbFS.fs_open	panic!	TAIL	(refusal s!"open of '{path}' with the NEGATIVE oflag {oflag}"	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	hand-written: body following a `let` line / match arm (read)
lean_frontend/CerbFS.lean	234	CerbFS.fs_open	panic!	TAIL	(refusal s!"open of '{path}' with O_EXCL (oflag {oflag})"	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	hand-written: body following a `let` line / match arm (read)
lean_frontend/CerbFS.lean	240	CerbFS.fs_open	panic!	TAIL	(refusal s!"open of the MISSING file '{path}' without O_CREAT (oflag {oflag})"	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	hand-written: body following a `let` line / match arm (read)
lean_frontend/CerbFS.lean	253	CerbFS.fs_open	panic!	TAIL	(refusal s!"open of the existing {contents.length}-byte file '{path}' with write/truncate/	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	hand-written: body following a `let` line / match arm (read)
